,Tatneft_Год отч_2018.txt,NOVATEC_Год отч_2014.txt,NOVATEC_Год отч_2015.txt,NOVATEC_Год отч_2017.txt,Fosagro_Год отч_2018.txt,Metalloinvest_ Год отч_2018.txt,Rusal_Год отч_2018.txt,NOVATEC_Год отч_2016.txt,Gazprom_Год отч_2017.txt,MMK_Год отч_2014.txt,MMK_Год отч_2015.txt,Gazprom_Год отч_2016.txt,Gazprom_Год отч_2014.txt,MMK_Год отч_2017.txt,MMK_Год отч_2016.txt,Gazprom_Год отч_2015.txt,Rosneft_Год отч_2017.txt,Rushidro_Год отчёт_2015.txt,Uralkalii_2016.txt,Uralkalii_2017.txt,Rushidro_Год отчёт_2014.txt,Rosneft_Год отч_2016.txt,Rosneft_Год отч_2014.txt,Rushidro_Год отчёт_2016.txt,Uralkalii_2015.txt,Uralkalii_2014.txt,Rushidro_Год отчёт_2017.txt,Polyus_Год отч_2018.txt,Rosneft_Год отч_2015.txt,Lukoil_Год отч_2018.txt,Aeroflot_Год отч_2014.txt,ALROSA_2016.txt,SeverStal_год отч_2018.txt,ALROSA_2017.txt,Aeroflot_Год отч_2015.txt,NorNickel_Год отч_2018.txt,Aeroflot_Год отч_2017.txt,ALROSA_2015.txt,ALROSA_2014.txt,Acron_Год отч_2018.txt,Aeroflot_Год отч_2016.txt,NorNickel_Год отч_2016.txt,Lukoil_Год отч_2017.txt,Acron_Год отч_2015.txt,SeverStal_год отч_2017.txt,SeverStal_год отч_2016.txt,ALROSA_2018.txt,Acron_Год отч_2014.txt,Lukoil_Год отч_2016.txt,NorNickel_Год отч_2017.txt,NorNickel_Год отч_2015.txt,Aeroflot_Год отч_2018.txt,Lukoil_Год отч_2014.txt,Acron_Год отч_2016.txt,SeverStal_год отч_2014.txt,SeverStal_год отч_2015.txt,AR_2015_rus.txt,Acron_Год отч_2017.txt,Lukoil_Год отч_2015.txt,NorNickel_Год отч_2014.txt,Rosneft_Год отч_2018.txt,Polyus_Год отч_2015.txt,Uralkalii_2018.txt,Polyus_Год отч_2014.txt,Polyus_Год отч_2016.txt,Rushidro_Год отчёт_2018.txt,Polyus_Год отч_2017.txt,Gazprom_Год отч_2018.txt,MMK_Год отч_2018.txt,Tatneft_Год отч_2017.txt,Metalloinvest_ Год отч_2014.txt,Fosagro_Год отч_2014.txt,Rusal_Год отч_2015.txt,Rusal_Год отч_2014.txt,Fosagro_Год отч_2015.txt,Metalloinvest_ Год отч_2015.txt,Tatneft_Год отч_2016.txt,Tatneft_Год отч_2014.txt,NOVATEC_Год отч_2018.txt,Fosagro_Год отч_2017.txt,Metalloinvest_ Год отч_2017.txt,Rusal_Год отч_2016.txt,Rusal_Год отч_2017.txt,Metalloinvest_ Год отч_2016.txt,Fosagro_Год отч_2016.txt,Tatneft_Год отч_2015.txt
городской среда,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
праздник,0,0,0,2,0,0,0,0,1,0,1,1,1,1,1,2,1,0,6,4,0,1,1,0,0,1,1,0,1,0,1,0,0,1,2,4,0,0,0,1,2,8,0,0,0,0,1,0,0,3,2,2,1,0,1,2,0,1,0,0,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
гарант,6,1,5,1,10,4,0,18,3,2,1,3,8,1,2,15,15,11,4,6,8,16,24,16,3,2,9,7,15,38,4,5,8,5,8,6,11,4,6,11,10,3,51,4,8,8,5,3,116,5,4,8,45,11,17,10,3,12,137,1,14,2,7,1,2,11,9,2,0,12,4,7,0,0,10,5,13,4,3,6,9,0,0,4,7,12
пострадавший,0,0,0,6,1,0,0,0,4,0,3,3,3,3,0,3,1,2,0,0,4,1,1,2,0,2,5,0,0,4,0,0,1,1,4,0,2,1,0,2,2,0,2,1,1,5,0,0,1,0,0,5,2,1,0,1,0,1,2,0,1,0,0,0,0,6,2,8,1,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0
всероссийский конкурс,0,0,0,0,1,11,0,0,0,0,1,1,0,1,1,1,0,3,1,0,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,4,0,0,0,0,2,1,6,0,0,1,0,0,0,0,3
среднесписочный численность,0,0,0,3,1,3,0,0,0,0,3,0,0,5,5,0,7,0,0,0,0,1,1,0,0,0,0,0,1,10,0,0,2,3,0,3,0,0,1,2,0,4,10,1,2,4,2,1,7,4,4,0,4,2,2,2,0,1,4,0,6,0,0,0,0,0,5,1,4,1,0,3,0,0,2,1,2,2,0,0,1,0,0,2,1,2
население,11,5,7,23,20,2,0,5,21,3,4,21,13,0,2,22,19,2,10,7,12,15,6,11,24,24,21,5,5,4,6,8,9,5,11,16,9,7,8,4,8,8,6,6,8,8,16,3,8,19,4,10,11,5,5,4,24,4,16,0,21,0,12,0,0,34,21,20,0,13,2,17,0,0,23,1,14,19,11,17,3,0,0,5,17,19
знание,105,9,5,11,31,13,0,11,8,2,2,13,3,6,4,7,73,4,27,32,5,70,75,6,29,28,23,53,64,52,32,5,22,17,42,51,44,7,2,40,43,37,68,34,21,25,7,41,40,41,28,73,25,37,4,27,29,41,39,4,65,10,49,0,9,26,72,14,6,67,2,31,0,0,24,1,42,24,30,28,5,0,0,3,28,30
компенсация,23,5,11,13,5,11,0,18,2,10,9,6,6,11,11,5,28,11,18,19,16,29,11,21,19,11,32,9,32,21,6,19,5,19,14,20,15,22,7,19,11,16,33,13,4,6,20,19,28,22,17,15,13,18,4,8,19,23,12,4,25,11,22,4,16,24,12,2,11,19,17,6,0,0,3,10,12,9,22,10,11,0,0,10,3,8
местный,36,48,48,50,37,10,0,44,72,2,2,74,20,2,2,49,142,18,24,21,23,150,118,21,28,43,31,26,140,40,21,13,56,34,18,44,17,13,8,24,21,23,41,17,71,95,26,13,42,57,27,25,40,21,19,76,28,23,73,1,135,1,23,1,3,24,65,76,4,39,6,40,0,0,35,3,56,48,206,23,11,0,0,12,23,47
молодая специалист,3,7,7,7,9,4,0,8,4,0,2,5,3,1,0,5,23,3,0,0,7,17,14,2,0,0,9,0,15,1,1,1,2,3,0,5,0,3,0,7,1,1,7,8,3,6,6,9,3,1,6,1,2,12,8,9,0,12,2,0,23,0,0,0,0,5,1,12,2,2,0,4,0,0,5,1,2,6,11,4,4,0,0,2,3,3
травматизм,9,0,0,8,9,7,0,0,6,2,4,8,5,2,5,7,11,1,7,6,2,5,0,1,9,4,11,10,2,13,1,4,5,4,2,13,3,7,5,4,2,8,4,2,10,4,3,3,4,6,9,6,8,1,3,3,9,2,2,2,11,1,9,1,0,23,44,7,0,1,0,6,0,0,7,2,2,6,2,11,6,0,0,4,9,6
